x,Curve1
0.02325,100.1273
0.10252,100.2002
0.1623,100.2698
0.21558,100.3294
0.28403,100.3591
0.33817,100.4054
0.41615,100.4384
0.4599,100.4847
0.53831,100.5111
0.59939,100.574
0.64704,100.6104
0.69989,100.6567
0.73108,100.6899
0.79259,100.683
0.83591,100.7194
0.88053,100.7458
0.93684,100.7789
0.98579,100.7953
1.02392,100.7819
1.0772,100.8448
1.12658,100.8846
1.16557,100.9143
1.22102,100.9307
1.25177,100.9539
1.30332,100.977
1.35791,100.9834
1.41639,101.0397
1.48786,101.0694
1.52468,101.0925
1.61739,101.162
1.65291,101.1885
1.71096,101.2082
1.77203,101.2645
1.81622,101.3042
1.88336,101.3405
1.93925,101.3769
1.97997,101.4067
2.04148,101.4264
2.11599,101.4793
2.18443,101.5389
2.23598,101.5786
2.30053,101.6149
2.33691,101.6347
2.37937,101.6745
2.42529,101.6776
2.46384,101.7207
2.51626,101.7538
2.58643,101.8
2.63495,101.8697
2.68693,101.9027
2.74801,101.9191
2.82685,101.9554
2.88577,101.9984
2.94771,102.0447
2.99536,102.0745
3.05471,102.1341
3.12185,102.1904
3.16821,102.1935
3.22149,102.2133
3.26741,102.263
3.31636,102.296
3.35794,102.3191
3.39563,102.3722
3.45411,102.4218
3.51259,102.4648
3.57844,102.5045
3.63129,102.5508
3.70753,102.6071
3.77597,102.66
3.83229,102.7163
3.88903,102.7793
3.94621,102.8289
4.00123,102.8686
4.08137,102.9016
4.16584,102.9544
4.22086,103.0107
4.28367,103.0703
4.33868,103.1267
4.41319,103.1962
4.51066,103.2457
4.59383,103.3152
4.66271,103.3681
4.75195,103.4443
4.83902,103.5304
4.90096,103.6
4.99453,103.6694
