x,u
0.00081,-8.2e-07
0.10446,-0.00040166
0.20015,-0.00083375
0.30165,-0.00118909
0.4003,-0.00142873
0.50017,-0.0015842
0.60004,-0.00166835
0.70072,-0.00171118
0.801,-0.00173139
0.90087,-0.00173377
0.99828,-0.00173245
1.09983,-0.00172737
1.20054,-0.00172217
1.3019,-0.00171319
1.39935,-0.00170627
1.49941,-0.00169521
1.60077,-0.00168449
1.70017,-0.00167689
1.80023,-0.00166375
1.90094,-0.00165235
2.001,-0.00163991
2.1017,-0.00162747
2.20111,-0.00161468
2.30117,-0.00160086
2.40057,-0.00158842
2.49998,-0.0015746
2.60199,-0.00156182
2.7014,-0.00154765
2.80015,-0.00153279
2.90086,-0.00151793
3.00092,-0.00150308
3.10032,-0.00149133
3.20233,-0.00147578
3.30498,-0.00146057
3.40375,-0.00144607
3.5012,-0.0014319
3.60191,-0.00141669
3.70197,-0.00140391
3.80072,-0.0013894
3.90078,-0.00137385
4.00279,-0.00135692
4.10219,-0.00134034
4.2003,-0.00131616
4.30036,-0.00128508
4.39847,-0.00123984
4.50113,-0.00116354
4.60508,-0.00104063
4.69994,-0.00087906
4.80065,-0.00062359
4.90136,-0.0002901
4.99166,-6.32e-06
