x,u
0.00081,-8.2e-07
0.10446,-0.00040166
0.20015,-0.00083375
0.30165,-0.00118909
0.4003,-0.00142873
0.50057,-0.00160617
0.59565,-0.00168117
0.70025,-0.00171672
0.80059,-0.00172878
0.90046,-0.00173051
1.00155,-0.00172223
1.10061,-0.00171113
1.19802,-0.00170024
1.30116,-0.00168653
1.40062,-0.0016726
1.49886,-0.00165997
1.60036,-0.00164343
1.70064,-0.00162776
1.80051,-0.00161318
1.90161,-0.00159642
2.00024,-0.00157944
2.10011,-0.00156442
2.20039,-0.00154614
2.29985,-0.0015296
2.40136,-0.00151067
2.50082,-0.00149174
2.60151,-0.00147411
2.70056,-0.00145583
2.79961,-0.0014382
2.89906,-0.00141949
3.00098,-0.00140012
3.10003,-0.00138357
3.20154,-0.00136355
3.30059,-0.00134593
3.40087,-0.00132786
3.50115,-0.00130871
3.59938,-0.00129217
3.70047,-0.00127498
3.80034,-0.00125714
3.90062,-0.00124081
4.00008,-0.00122362
4.10118,-0.00120338
4.20064,-0.00118097
4.30092,-0.00115073
4.40119,-0.00110874
4.50024,-0.00104914
4.60093,-0.00095083
4.7008,-0.00080446
4.80026,-0.00061916
4.90136,-0.00028403
4.98936,-6.53e-06
