x,u
0.00465,1.36e-06
0.10003,2.3909e-05
0.20005,5.2126e-05
0.30008,7.2457e-05
0.39961,8.3793e-05
0.50019,8.8784e-05
0.60075,8.9802e-05
0.70146,9.0146e-05
0.80094,9.0831e-05
0.90083,9.2593e-05
1.00113,9.5136e-05
1.1002,9.812e-05
1.2005,0.00010125
1.29997,0.000104332
1.40068,0.00010756
1.50098,0.00011025
1.60005,0.000112403
1.70076,0.000114604
1.79942,0.000116707
1.90013,0.000118714
2.00002,0.000120573
2.10073,0.000122627
2.1998,0.000124291
2.30051,0.000126198
2.40081,0.000127764
2.49988,0.000129868
2.59895,0.00013158
2.70007,0.000133537
2.79996,0.000135739
2.90026,0.000137842
3.00055,0.000139896
3.10126,0.000142196
3.20197,0.000144544
3.30186,0.000146843
3.40011,0.000148458
3.50042,0.000150512
3.60112,0.000152567
3.69938,0.000154035
3.80009,0.000155601
3.9012,0.000156335
4.00069,0.000156922
4.10222,0.000157804
4.20047,0.000158783
4.30036,0.000160984
4.40189,0.000164115
4.50055,0.000166365
4.60045,0.000163628
4.70036,0.000149106
4.80155,0.000115466
4.90113,6.0604e-05
4.99745,2.32e-06
